Headword,Definition
ПАЛЕЦ,"аг. слав. палец, пальцы, пальчаты; пальчаткі, рукавіцы с пальцамі. Названьне пальцаў на руках: вялікі або пянцюх, спаказны, сярэдні, пярсьцяк, мезяны. На нагах: вялікі або ступель і чатыры малыя палюхі."
ПАЛЕЯ,летапісь выбраная са Старага Закону.
"ПАЛИСАД, ПАЛИСАДНИК","м. франц. тынок агародка з калкоў тычком; штахэтнік; тын, тынок, тынец, тыніць."
ПАЛИТРА,ж. франц. ручная малярская дашчэчка да накладаньня фарбаў.
ПАЛКА,"ж. палка, палкі, палкаваць. Любіць як сабака палку."
ПАЛИЦА,"ж. палка, асабліва закамлістая з булдавой; пабаўга, побаўка; кіяга."
ПАЛОМНИК,"м. багамол, пілігрым."
ПАЛУБА,"памост і столь на вадаплавах; апастрэшша, пострап."
ПАЛЬМА,ж. найме дрэў гарачых краёў.
ПАЛЬТО,ср. нескл. франц. верхная вопратка; бурнос.
ПАЛЬЯТИВ,"м. лац. часовае, аблягчаючае але не вылячаючае лякарства; пальятыў."
ПАМФЛЕТ,"м. англ. Нападка на што ці на каго, аддрукаваная аддзельнай кніжачкай; памфлет."
ПАМЯТЬ,"ж. агульн. слав. памяць, памятаць, памятны, памятка, памятна, памятлівасьць, памятаньне."
ПАНАГИЯ,ж. грэцк. абразок ношаны архірэямі на грудзёх.
ПАНАЦЕЯ,"ж. альхім. ўсеагульнае лекарства, знадабьбе ад усіх хвароб, зельля доўгалецьця."
ПАНДАН,"м. франц. рэч роўнамерная, роўназначная, аднаякая, адноколерная; спараўня. Гэты абраз спараўня таму. Гэтай рэчы няма спараўні. Разлажы кнігі ў спароўнь фігуры."
ПАНДЕКТЫ,зборнік рымскіх правоў і пастаноў.
ПАНЁВА,спадніца; андарак.
ПАНЕГИРИК,м. грэцк. пахвала.
ПАНЕЛЬ,"ж. нямецк. лата, якую прыбіваюць на памосьце ўдоўж сьцен каб закрыць шчэлку; ходнік ўздоўж дому."
ПАНИКАДИЛО,"ср. грэцк. царкоўны вісомы сьвечнік; балядаш, павук, сьвечніца."
ПАНИХИДА,ж. грэцк. царкоўная адправа за умершых; задушная адправа.
ПАНИЧЕСКИЙ страх ПАНИКА,"грэцк. раптоўны, безпрытомны і няўстрымны страх."
ПАНОРАМА,"ж. грэцк. кругавы абраз, абманываючы глядача, які лічыць сябе пасярод выабражанай вакол яго мясцовасьці."
ПАНСИОН,м. франц. вучомная і выхаваўчая установа; пансіён.
ПАНТАЛОНЫ,"італьян. штаны, гаштакі; хлачы, жаночыя."
ПАНТЕИЗМ,"м. грэцк. многабожнасьць, многабожства; багомленьне прыроды; пантэізм."
ПАНТЭОН,"м. мейсца пахаваньня слаўных людзей, сабраньне твораў ўсіх адмен; зборнік жыцьцёапісаньняў слаўных людзей."
ПАНТЕРА,"ж. хіжны зьвер, сямьі львоў; пантэра."
ПАНТОМИНА,ж. грэцк. перадача пачуваньняў і мысьляў выражэньнем аблічча і рухамі ўсяго цела.
ПАНЦЫР,"м. ням. кальчужная кашуля; панцыр. Панцырныя баяры, баяры якія ставалі на вайну ў панцырах."
ПАПА,"м. грэцк. бацька, тата."
ПАПА,"м. каталіцкі першасьвятар; папеж, папежскі; папежнік, каталік, які прызнае папежа."
ПАПАХА,ж. круглая шапка з касматым верхам.
ПАПЕРТЬ,"ж. прысёнак пры цэркві; бабінец, свянтар, цьвінтар."
ПАПИЛЬОТКА,ж. фр. трыкутны кавалачак паперы да закручываньня валасоў.
ПАПОРОТНИК,м. вялікая сямья зерлавых (бяз кветных) расьцін Filix; папараць. На Купала ў ночы цьвіце папараць (Сержп. 46).
ПАПСКИЙ,папежскі.
ПАПЬЕМАШЭ,"ср. франц. папяровае цеста; паперкаўка, папярковы. Папярковая лялька."
ПАРА,"ж. двойка, двойца; пара, парны, параваць; спарыш, зростак двох арэхаў."
ПАРАБОЛА,"ж. грэцк. прыповесьць; матэмат. разрэз цукровай галавы наскось, зьверху ў ніз, дае"
ПАРАГРАФ,"м. грэцк. невялікі аддзел, зварот у пісьме абазначаны параграфічным (§) знакам і лічбай."
ПАРАДОКС,"м. грэцк. высказ дзіўны, на першы погляд дзікі, спраціўны агульна прынятаму."
ПАРАД,м. фр. сьвяточная вопратка; аздоба; вайск: урочысты прагляд войска.
ПАРАЗИТ,"м. грэцк. расьціна або жамяра якая жыве чужымі сокамі; чужапас, чужапасны."
ПАРАКЛИТ,м. грэцк. найме прыдаванае Св. Духу: спацяшыцель.
ПАРАЛЕЛЬ ж. ПАРАЛЕЛЬНАЯ,"лінія, роўналегласьць, роўналежнік, роўналежны, паўзьбежны."
ПАРАЛИЧ,"м. хвароба пазбаўляючая цела руху; параліж, паляруш; параліжаваць, спараліжаваны."
ПАРАПЕТ,м. франц.? балясы.
ПАРАФИН,"м. выкопны воск; парафіна, парафінавы."
ПАРАФРАЗ,"м. грэцк. падробнае абшырнае тлумачэньне, сьціслай прамовы; пераказ іншымі словамі; перафраза, парафразоўка."
ПАРДОН,"м. франц. выбач, выбачайце."
ПАРЕНЬ,"м. малады хлапец, падростак і вышэй падростка, ня жанаты (не мужчына); дзяцюк, дзяцючок, дзяцюкоўскі, дзяцюкі."
ПАРИ,"нескл. франц. заклад. Пайду аб заклад што ты гэтага ня зробіш. Давай, пойдзем ўзаклад, што гэта ня той."
ПАРИК,"м. франц. накладныя, на ўсю галаву валасы; сызвалосьнік, сызвалосіца."
ПАРИКМАХЕР,майстар які голіць і пастрыгае валасы; пастрыгач; галяр.
ПАРИКМАХЕРСКАЯ,пастрыгальня; галярня.
ПАРКЕТ,"м. франц. складаны з дробных дашчэчак узорамі памост; ціс, цісовы."
ПАРИТЬ,"лынаць, лынае."
ПАРК,"м. англ. чысты гаёк з дарожкамі для прахаджкі; гай, гаёк."
ПАРЛАМЕНТ,"м. франц. сабраньне народных паслоў для кіраваньня дзяржавай; рада, дзяржаўная рада."
ПАРНИК,"м. цёплы ашклёны будынак для разсадкі і зімовага перахову расьцін; цяплярня, цяпліца; зруб пакрыты вокнамі: расаднік."
ПАРОДИЯ,"ж. грэцк. перасьмешка паважнага твору; пераробка якога твору навыварат; перасьмешка, пераніцоўка."
ПАРОКСИЗМ,"м. грэцк. прыступ, прыпадак хваробы; спохват, спохваты."
ПАРОЛЬ,"м. франц. слова перадаванае варце, дзеля пропуску ў абоз тых, якія знаюць тое слова; спокліч."
ПАРОСЬ,"дробны дожджык; сітнік, сітнічок."
ПАРОХОД,паравы вадаплаў; параплаў.
ПАРТЕР,"м. франц. ніз, под тэатру; прыспад."
ПАРТИЯ,"ж. франц. аднадумнікі, сувязь людзей аднаго пераконаньня; партыя, партыйны; партызан, староннік партыі, які змагаецца за свае пераконаньні са зброяй у руках."
ПАРТИКУЛЯРНЫЙ,"не афіціяльны, прыватны."
ПАРУС,"м. вятруг, вятругі; лаштыр."
ПАРЧА,"ж. залатая або сярэбраная тканіна; грызэт, грызэтовы; залататканка, залататканы."
ПАРШИ,"пархі, паршывы, пархуць."
ПАР,"м. пакінутая адлогам зямля; папар, папарны; адлог."
ПАР,"м. цеклаць абернутая гарачынёй ў лятучую форму; пара, паруе, парыць, параваць, выпарывацца, паравы, парыва, параніна, параніца, выпетрываць."
ПАРОВОЗ,м. цягнік. Цягнік цягне ўвесь поезд.
ПАРОХОДСТВО,"вадаплаўства, вадаплаўны."
ПАСАЖ,"м. франц. крыты ход, праход з вуліцы ў вуліцу часам з крамамі і спаказамі тавараў; апаветнік, апаветніца."
ПАСАЖИР,"м. франц. сядак, сядакі, сядацкі."
ПАСАТНЫЯ ВЕТРЫ,якія ў вядомую пару году веюць заусёды з аднаго боку.
ПАСПОРТ,м. франц. пасьведчаньне тожсамасьці асобы; пашпарт.
ПАСИВ,м. фр. доўг. Процілеглае: актыў — гатоўка.
ПАСИВНЫЙ,ад’емны; актыўны: дадатны.
ПАСКВИЛЬ,"м. франц. безыменны, зьняважлівы, насьмешлівы твор; пашквіль."
ПАСКОРНИ,аскробкі мяздры; мяздруга.
ПАСКОННЫЙ,з горнай канаплі; пяньковы.
ПАСЛЕН,радавое найме расьцін Solanum; глісьнік.
ПАСМО,ж. ніткі матаюць пасмамі; пасмо. Маток мае ад 7 да 17 пасмаў; пасмо мае 40 нітак ці 10 чысьменак па 4 ніткі.
ПАСМУРНЫЙ,"хмарны, хмарлівы, хмарыцца, пахмурны. Пахмурная пагода, Захмарыўся хлапец, зажурыўся."
ПАСТБИЩЕ,"паша, пасьвіць."
ПАСТЕЛЬ,ж. італьян. рысунак сухімі фарбамі.
ПАСТЕРНАК,м. пастарнак.
ПАСТИ,"статак, пасьвіць, пасьціць."
ПАСТВА,"ж. пасцьба, пасцьвіць."
ПАСТУХ,"м. пастух, пастыр, пастушок, пастускі."
ПАСТИЛА,"ж. лац. (pasta), запяканае фруктовае мязіва з цукрам."
ПАСХА,ж. жыдоўск. (пэйсах); Вялікдзень.
ПАСТЬ,"зеў, зяўло; зяпа, зяпаць, крычаць на ўсю глотку."
ПАС,прысл. франц. у гульні ў карты; годзі.
ПАСЬЯНС,"м. франц. раскладаньне карт рожным парадкам, часам з варажбой; кабала."
ПАСЮК,м. укр. пацук. Расійск.: крыса.
ПАТЕНТ,"м. лац. ліст на годнасьць, вучоную ступеню, на права торгу."
ПАТЕТИЧЕСКИЙ,"м. грэцк. расчуляючы, пабуджаючы; патэтычны."
ПАТОКА,"ж. сток цечы, мядовы самацёк, бульбяны салодкі сыроп: меляс."
ПАТОЛОГИЯ,ж. грэцк. навука аб азнаках і характарах хвароб; паталёгія.
ПАТРИАРХ,"м. грэцк. прабацька, патрыярх."
ПАТРОН,"м. лац. апякун, заступнік дабрадзей; апякун. Папяровая ці мядзяная трубка для набояў; сам набой; ладунак, ладункі."
ПАТРОНТАШ,м. нямец. ладаўніца; кулетніца.
ПАТРУЛЬ,м. франц. вайсковы абход або аб’езд; дазор.
ПАУЗА,ж. грэцк. муз.; пяропын.
ПАУК,"м. жамяра; павук, павуковы, павучына, павучыньне."
ПАУПЕРИЗМ,"м. лац. бедната, абядненьне."
ПАХАБИТЬ,"гаварыць стыдныя словы, непрыстойна лаяцца; машкеліць, машкельнік, машкельчына, машкяляць. Не машкяляй пры дзяцёх. Брыдка слухаць тваю машкельшчыну (Празарокі)."
ПАХАТЬ,"зямлю, араць, заворываць, аромы, араньне, аральля; ральля, раліць, ралейны, аральбіт, араты, артай, артаі."
ПАХАРЬ,"хто арэ; аральбіт, ратай, араты."
ПАХОТА,"ж. ральля, аральля. Слова „пашніца“ сустрачаецца ў абрадовых песьнях ў значэньні „пасеву“, „збожжа“. Радзі Божа жыта і пшаніцу, жыта і пшаніцу, ўсякую пашніцу! Зраўняй „ паша“, падножны корм. У Лепэльшчыне я чуў слова „пахаць“ ў значэньні сеяць."
ПАХМУРНЫЙ,"чалавек, хмырлівы, нахмыраны."
ПАХТАТЬ,"баўтаць, збаўтываць, зьбіваць цеклаць трасучы само начыньне, або калатоўкай; баўтаць. Аб зьбіваньні масла: зьбіваць, біць; бойка, дзяжурка да зьбіваньня масла."
ПАХТАЛКА,"ж. бойка. Бойку купіла масла зьбіваць. Кіёк плосмы на канцы, да зьбіваньня масла: калатоўка."
ПАХТАНИНА,"ж. сырватка ад зьбітага масла; масьлянка, юрага."
ПАХОВИНА,"сподняя і бакавая часьць бруха жывёлаў ад пупа да пах; пахвіна, пахвінка."
ПАХОТИНА,"ж. паха, пашка."
ПАЦИЕНТ,"м. лац. хворы, спалечнік."
ПАЧЕ,"прысл. больш, лепш, больш за ўсё. Больш за ўсё сьцеражыся благога таварыства. Люблю парэчкі а больш чорныя."
ПАЧКА,"ж. нямецк. зьвязка, згортак; клумчык, клонцік, клонка. Купіу клонцік табакі. Іголкі прадаюць клонкамі па 12 штук у клончыку."
ПАЧКАТЬ,"што, пэцкаць, пэцканіна, пэцкіль. Гэта не майстар, а пэцкіль. Дзе гэта ты запацкаўся ў сажу? Не памыўся, а толькі папэцкаўся. Мурзацца, замурзаны, мурзацік, мурза. „Мурзамі“ называюць вусны і шчокі ў пагардлівым значэньні; замурзацца, амурзацца, знача папэцкаць нечым аблічча, а болей шчокі і вусны."
ПАШТЕТ,"м. ням. пірог з мясной накрыпкай; пірог з накрыпкай, накрыпка."
ПАЯТЬ,"што, злучаць ці зварываць мэталічныя часьці, лёгкатопным мэталям; лютаваць, лютоўка, лютаваны, лютавальны, лютавальнік, лютаўнік. Медзь і бляху лютуюць цынай (stannum); медзь і зялеза — мядзяным прыварам; серабро і золата — сярэбранай і залатой прылюткай. Цынай лютуюць лютавальнікам, а медзьдзю — ў агне."
ПАЯЦ,"м. італьянск., кулдыяш, кулдыш (гл."
ПЕГАС,м. грэцк. баечны крылаты конь.
ПЕДАГОГИКА,"ж. грэцк. навука аб гадаваньні і выхованьні дзяцей, маладзежы; пэдагогіка."
ПЕДАЛЬ,"м. лац. касарга, асьвер у рожных машын і музычных прылад, націсканы нагой; понажы. У арганах і ў кроснах понажы."
ПЕДАНТ,"м. франц. чалавек да драбніц акуратны; крыпатун, крыпотлівасьць, крыпотлівы, крыптацца. Часам нельга ня быць крыпотлівым: самаменшая неакуратнасьць псуе ўсё. Ён зазвычай крыптаецца ў драбніцах."
ПЕДОМЕТР,грэцк. прылада да мераньня пройдзенага; хадамер.
ПЕЙЗАЖ,"м. франц., ландшафт нямецк.; малюнак, выгляд мясцовасьці; краёвідзь; спазор. З гары аткрываецца прыгожы спазор на раку і лес. У кнізе пададзена краёвідзь вельмі падобная да нашага краю."
ПЕЙЗАЖИСТ,"м. франц. маляр які малюе краёвіды; краёвіднік, краёвідны."
ПЕКЛЕВАТЬ,"жыта, пшаніцу, пітляваць, піталь, пітляваны хлеб; пітляванікі, блінцы з пітляванай мукі."
ПЕЛЕНА,"ж. палотнішча да пакрываньня чаго тканіна да абвіваньня чаго; полка (з „апаволка“, апавалачываць)."
ПЕЛЕНАТЬ,"дзяцё, спавіваць, спавіць."
ПЕЛЕРИНКА,"ж. франц. круглы доўгі каўнер, поўплашчык; палярынка."
"ПЕЛЬМЕНЬ, ПЕЛЬМЕНИ","вогульск. заварыванае ў цесьце мяса маленькімі піражкамі; каўдуны, каўдунцы. Найме паходзіць ад назовы трыбуха — „кіндзюк“, „каўдук“; „каўдунцы“ — малыя трыбушкі. Беглі авечкі па калінаву масту, ўбачылі агонь, — скочылі ў ваду (Загадка: Каўдуны)."
ПЕМЗА,"ж. ням. наздраватая, кіпрая лява, адмена наздраватага каменя, застыгшай каменнай пены выкіданай агнепыхлівымі горамі; шарха, шархаваць; памакс, памаксаваць."
ПЕНТЮХ,"м. трыбух, кіндзюк, каўдук, пехтыр, мендзер; гэта усё наймі трыбуха, бруха, жалудка самага рознаякага паходжаньня. Сьвінны кіндзюк, каўдук с кашай. Янучок, Янучок, ці напхаў каўдучок!"
ПЕНСИОН м. або ПЕНСИЯ,"ж. франц. плата звыж памесячнай, пагоднай дажы, за заслугі, або за доўгалетную службу; запаслуга."
ПЕНЬ,"м. астатак пры карані ссечанага або зломленага дрэва; пень, пні, пнішча, пнеўя, пністы; галамень, галамьё, галомісты; корч, карчы, карчаваць, карчаваньне."
ПЕНЬКА,"ж. канопнае валакно; пянька, пяньковы."
ПЕНЮАР,м. жаночая ранная вопратка; растармашка.
ПЕНЯ,"ж. кара грашмі; грашобірка, грашаборны, грашаборы."
ПЕНЯТЬ,"наракаць, дакараць, дакора."
ПЕНЯЗЬ,м. ням. грош.
ПЕПЕЛ,"м. попел, попельны, попельнік, папяльніца, папялішча, папяліць, папялышка, папялыга; прысок, прысець, прысцовы, прысіць, спрысець, прысец; прысьнік ямка ў печы куды зьмятаюць жар і попел."
ПЕПЕЛИЩЕ,"папялішча, пагарэлішча."
ПЕРВЫЙ,"лічэбн. першы, першасьць, пяршак, пяршачка, пяршанка, пяршацтва, пяршына, першаваць; пярвічка."
ПЕРВЕНСТВО,"пяршацтва, пяршак."
ПЕРВИЧНЫЙ,"першаісты, першаістасьць."
ПЕРВЕНСТВОВАТЬ,першаваць пяршуе.
ПЕРВОБЫТНЫЙ,"першабытны, першаісты."
ПЕРВОВЕСНИЕ,ср. прадвесьне.
ПЕРВОГЛАСНЫЙ,"напеў, першагалосны."
ПЕРВОГОДНЫЙ,"першагодны, першагодак."
ПЕРВОДАННЫЙ,"сын, першародны."
ПЕРВОЗВАННЫЙ,"госьць, першазваны."
ПЕРВОЗДАННЫЙ,"камень, першатворны."
ПЕРВОЗИМЬЕ,"зазімак, зазімкі."
ПЕРВОИЗБРАННИК,першавыбранец.
ПЕРВОКЛАССНЫЙ,першаклясны.
ПЕРВОНАЧАЛЬНЫЙ,першапачатны.
ПЕРВООБРАЗНЫЙ,першааблічны.
ПЕРВООСНОВАТЕЛЬ,першаасноўнік.
ПЕРВОСВЯЩЕННИК,першасьвятарнік.
ПЕРВОПЕЧАТНЫЙ,першадрукоўны.
ПЕРВОПИСНЫЙ,першапісны.
ПЕРВОПЛОДНЫЙ,першаплодны.
ПЕРВОПОБЕДНЫЙ,першапераможны.
ПЕРВОПОДВИЖНИК,першападзейнік.
ПЕРВОПРЕПОВЕДНИК,першапрапаведнік.
ПЕРВОПУТЬЕ,"першадарожыца, першадарожны."
ПЕРВОРОДСТВО,"першародзтва, першародны."
ПЕРВООСЕНЬЕ,першавосеньне.
ПЕРВОСЛУЖИТЕЛЬ,першапаслужнік.
ПЕРВОСТРАДАТЕЛЬ,першамучанік.
ПЕРВОСУЩНЫЙ,першаісты.
ПЕРВОУГОДНИК,першагодлівец.
ПЕРВОУЧЕНИК,"першавучнік, першавучны."
ПЕРВОЦВЕТ,"першаквет, першакветны."
ПЕРГАМЕНТ,м. цялячая ці другая скура прыгатаваная да пісаньня; пэргамант.
ПЕРЕАУКИВАТЬ,пераклікацца ў лесе; перагукацца.
ПЕРЕБАВИТЬ,чаго у што; перадаць.
ПЕРЕБАЛОВАЛИСЬ,"дзеці, распусьціліся, распуста."
ПЕРЕБАЛОТИРОВАТЬ,"каго, перагаласаваць."
ПЕРЕБАЛТЫВАТЬ,"лякарства, перабаўтываць."
ПЕРЕБИВАТЬ,"каго, што; перабіваць, перабіваньне, перабіўка, перабіўчывы, перабой, пяробіль. Толькі прывязла сыры на рынак дык наўпяробіль парасхапалі."
ПЕРЕБИРАТЬ,"што, перабіраць, перабірацца, пераборы, перабор, перабіраньне, пераборка, пераборчывасьць."
ПЕРЕБОЙ,"пяробіль, пяробільны."
ПЕРЕБОДАТЬ,"перабасьці, перабоды."
ПЕРЕБОЛТАТЬ,перабаўтаць.
ПЕРЕБОЛЕТЬ,"хварэючы, перахварэць."
ПЕРЕБОРАЗЖИВАТЬ,"што, перабарозіваць."
ПЕРЕБОРАНИВАТЬ,"ральлю, перабарановываць, пераскараджываць, пераскароджаны."
ПЕРЕБОРАТЬ,"каго, перабараць, перасіліваць, перамагаць."
ПЕРЕБОРМОТАТЬ,перамарматаць.
ПЕРЕБРАЖИВАТЬ,"пераходзіць праз брод; перабрыдаць, перабрысьці, пераброд, пераброды. Ой шырока рэчка, мелкі пераброд. Не вайною, не паходам, а ракою, перабродам (Салд. песн.)."
ПЕРЕБРАКОВАТЬ,"тавар, перабракаваць."
ПЕРЕБРАНИТЬ,"усіх, пералаяць, пералаівацца, пералайка, пералайчывы. Цябе, дачушка, сто сабак не перабрэшуць у пералайцы."
ПЕРЕБРАСЫВАТЬ,"камень праз хату, перакідаць, перакідацца, перакіданьне, перакідчывы, перакід, пярокід, пярокіды, пярокідак."
ПЕРЕБРАЧИТЬСЯ,перажаніцца.
ПЕРЕБРИВАТЬ,"каго, перагаліць іначы; перагаліваць."
ПЕРЕБРОДИТЬ,"аб піве, перабрузнуць, пяробрасьць; парабрузлае малако, піва, — перакісшае."
ПЕРЕБРИЗГИВАТЬ,"перабрызгаць, пяробрызь."
ПЕРЕБРЯКАТЬ,перабразгаць.
ПЕРЕБУКСИРОВАТЬ,"вадаплаў, перавалачы."
ПЕРЕБУНТОВАТЬ,"народ, перабунтэжыць, перабурыць."
ПЕРЕБУТИТЬ,"што, перажлукціць."
ПЕРЕБЫВАТЬ,"дзе, перабываць, перабыць, перабываньне."
ПЕРЕБЫЗИТЬСЯ,"аб статку, перагізаваць."
ПЕРЕБЕГАТЬ,"праз што, перабягаць, перабяганьне, перабегі, перабежка, перабежнік, перабеглы. Конь масточак перабег, спатыкнуўся на дарожцы."
ПЕРЕБЕЛИВАТЬ,"дом, перабяляць, перабяляны, перабелка. Больш каштуе перабелка як сама атынкоўка."
ПЕРЕБЕСИТЬ,"каго, перашалець."
ПЕРЕБЕЩИК,"пяробег, перабежнік."
ПЕРЕВАДИТЬ,"каго, перанадзіць. Перанадзілі да сябе нашых галубоў."
ПЕРЕВАЗЖИВАТЬ,"каня, пераляйцовываць."
ПЕРЕВАЛИВАТЬ,"што куды, пераваліваць, пераваляць, пераваляньне; перавал."
ПЕРЕВАРАКСАТЬ,перакешкаць.
ПЕРЕВАРИВАТЬ,"што, пераварывань, перагатовываць."
ПЕРЕВАРИВАТЬ,"аб жываце; ператраўляць, ператраўлены. Сабака і косьці ператраўляе."
ПЕРЕВЕРСТЫВАТЬ,"што, перашыхтовываць."
ПЕРЕВЕРТЫВАТЬ,"што, перавяртаць, перавернуты, пяровертка, пяроверцень."
ПЕРЕВЕРШИВАТЬ,"што, перапастанаўляць."
ПЕРЕВЕСЛО,"абвязаць, саламяны шнур да зьвязываньня снапа; пяровясла; такжа перавязка на вядрэ."
ПЕРЕВЗНУЗДЫВАТЬ,"коні, перакелзываць."
ПЕРЕВИВАТЬ,"што чым, перавіваць, перавіцца, перавіўка, перавіўчывы."
ПЕРЕВИЗЖАТЬ,"каго, перапішчаць, перазьвіржджэць."
ПЕРЕВИНЧИВАТЬ,"што, перашрубовываць."
ПЕРЕВИРАТЬ,"што, каму; пералгаць, пералгацца, пералганьне, пяролгі, пяролыжны, пералыгі і пяролыгі, пералыгчывы. Хто мяне пералжэ, трох дзён не пражыве. Адзін лгаў, не далгаў, другі лгаў, пералгаў, трэці пералыгіваў."
ПЕРЕВИСАТЬ,"вісець, цераз што; перавісаць, перавіслы, пяровеска."
ПЕРЕВОДИТЬ,"што, каго; вывеўшы з аднаго мейсца пакідаць на другім; перавадзіць, перавод, пераводнік—ніца, пяровады."
ПЕРЕВОДИТЬ,"з аднэй мовы на другую; перакладаць, пераклад, пераклады, перакладчык—чыца, перакладзены. З чужой мовы цяжка зрабіць добры пераклад. Перакладчык не павінен трымацца будовы чужой мовы."
ПЕРЕВОДИТЬ,"нішчыць, выгубляць. Мышэй нішчаць атрутай. Вучні пакуль навучацца пісаць перанішчаць многа пёр і паперы."
ПЕРЕВОЗИТЬ,"што, куды; перавазіць, перавазіцца, перавоз, перавозка, перавозьнік, перавозны."
ПЕРЕВОЙ,"перавіў, перавіўны."
ПЕРЕВОЛАКИВАТЬ,"што праз што; перавалачываць, перавалочны, перавалока, перавалочча; перавалочына—ніца, пярокладка, папярэчніца на двох стаўбах; папярэчная бэлька ў будоўлях бяз столі."
ПЕРЕВОЛОЧЬ,"што, перавалачы."
ПЕРЕВОРАЧИВАТЬ,"што, перавяртаць."
ПЕРЕВОРАШИВАТЬ,"сена, ператрасаць, ператруска."
ПЕРЕВОРОТИТЬ,"што, перавярнуць."
ПЕРЕВОРСИТЬ,"сукно, перакуграць, перакутрыць."
ПЕРЕВОРЧАТЬ,"на каго, перабурчэць, пераквактаць, перапуктаць."
ПЕРЕВОСПИТЫВАТЬ,"каго, перавыховываць."
