Headword,Definition
АНОНИМ,м. грэцк. — няпознамка.
АНТИДОТ,"м. грэцк. лек супроць атруты, адатрута."
АНТИЛОПА,ж. сарна.
АНТИК,"м. лац. старасьвеччына, старасьвецкая рэч, старавеціна, стараветны, стараветнік, маючый заняцьце са старасьвеччынай; стараветня — крама для прадажы старых рэчаў, кніг і інш."
АНТИПАСХА,"ж. нядзеля. па Вялікадні, тыдзень св. Ѳамы. Радаўніца, Наускі Вялікдзень."
АНТИПАТИЯ,"ж. лац. нехаць, адраза. Я чую да гэтага чалавека нейкую ўнутраную нехаць. Адразы сваей скрываць не магу."
АНТОНОВ ОГОНЬ,"лек. амярцьвеньне чэляса ці часьці цела, якое аддзяляецца і адпадае як нежывое; чорная сьнедзь, гангрэна, вогнік."
АНТРАКТ,"ж. франц. прыстанак, пярорва."
АНТРАША,"фр. нескл. скок у танцы са шчоканьнем ботамі, або з пераменай нагі, падскок, шчакаузень."
АНТРОПОЛОГИЯ,"ж. грэцк., навука аб чалавеку, чалавекаведаньне."
АНТРОПОМОРФИЗМ,"м. грэц., прыдаваньне выдуманым істотам чалавечай падобнасьці, чалавекападобленьне."
АНШЛАГ,"м. ням., вывеска, наклейка."
АОРТА,"ж. грэцк., цар-жыла, пачатковая, першая і самая грубая баявая жыла ў целе, выходзячая проста з левай палавіны сэрца, тутніца. З яе выдзяляюцца ў галаву баявыя жылы (сонныя) і ў рукі (лутніцы)."
АПАТИЯ,"ж. грэцк., роўнадушнасьць, безцікаўнасьць."
АПЕЛЬ,"ж. грэцк., знак ці голас (сыгнал) трубой конніцы для збору; збор, покліч."
АПЕЛЬСИН,"м. голяндзк., дрэва і плод Citrus aurantiorum; аранжа, аранжык. Купі мне мама аранжыка. Годзі табе з гнілым носам у аранжы лезьці. Аранжыкі жыдоўка прадае."
АПЕТИТ,"м. лац. позыў да ежы; жадаедзь, апэтыт, смач. Пасьля хваробы жадаедзь у яе вялікая: ўсё просіць то тое, то сёе дай. Млосна, а жадаедзі німа. Смач да яды мае. На калач знойдзем смач."
АПЛОДИРОВАТЬ,"каму, франц, біць у ладкі, пакляскаць, покляскі. Яму покляск людзкі не патрэбен. Выступ, прамову яго пакрылі густымі покляскамі. Кляснуў ў далоні завучы слуг сваіх."
АПОКАЛИПСИС,"м. грэцк. царк. відзежа св. Ап. Яна Багаслова; выяўленьне, апакаліпса."
АПОПЛЕКСИЯ,"м. грэцк, хвароба; паляруш."
А ПО СЕМУ,адлі. Адлі я і зрабіў так.
АПРЕЛЬ,чацьверты месяц у гаду; красавік.
АПТЕКА,"ж. грэцк. установа дзе прыгатоўваюць і прадаюць лекарствы; зельня, зялейня, зялейнік, — аптэкар, прадавец лекарстваў. Зайдзі ў зялейню, купі зельля, лекарства. Зялейнік ня лечыць, а калечыць. Зеліць, заліць — рабіць выцяг з зёлак пры помачы настаіваньня: Трэба вызаліць у сьпірце карані дзевасілу і націрацца тым"
АРАВА,ж. арава. Бурлацкая арава цягнецца (Даль). Арава бурлакоў пьяных ўвалілася ў карчму.
АРАПНИК,"м. доўгі раменны біч, бізун; бізуншчык хто арудуе бізуном; бізуніць, бізаваць біць бізуном."
АРАП,"м. ад прыроды чорнаскуры чалавек, ураджэнец гарачых краёў, асабліва Афрыкі; мурын, мурынскі да яго датычны. Чорны, як мурын."
АРБА,ср. нескл. павозка па двох колах бедка.
АРБУЗ,м. расьціна і ядомы плод Curcubita Citrullus кавун.
АРЕНА,"ж. лац. мейсца да барацьбы, бітвы, перагонаў, відовішч, майдан, ток."
АРЕСТ,"м. франц. задзяржаньне чалавека пад старожай, вартай, увязьненьне; арышт. Дамовы арышт. Арыштавалі тавар на рынку. Арыштант, стар. вязень. Арыштанцкія харчы. Арыштанцкае жыцьцё, паступаньне."
АРИСТОКРАТИЯ,"ж. грэцк., дзяржаўны лад, дзе вышэйшая ўлада ў руках паноў, магутаў, вяльможаў, асобнага высшага стану, што перадае свае прывілеі ў патомнасьць, па роду. Грашавая арыстакрацыя, багачы, сьвежа збагацеўшыя купцы. Арыстакрацыя духовая, сабраньне людзей вучоных разумных, асьвечаных."
АРИМАН,"м. пэрс. міт. уасобленьне, злой цёмнай сілы — Гармей (Срезн.), супраціўная яму сіла дабра і сьвятла уасабляецца пэрсамі ў Гормузе (рас. Ормузд)."
АРИФМЕТИКА,"ж. грэцк. навука аб лічэньні; арытмэтыка, арытмэтычны."
АРИЕРГАРД,"м. франц. пазадны, пазаднік."
АРКА,"ж. лац. перакінутая праз адлегласьць дуга, столь, скляпеньне сьцяной: аблук, выгба. Рымская выгба круглая зьверху, усходняя — вастраватая,"
АРКАН,"м. татар. вяроўка пятлёй лавіць коней на пашы, зьвярыну на ўловах, а часам і ворага на вайне; сілно, сіляць: Нашто засіляцца — лезьць у пятлю. Ажаніўся — што засіліўся. Сядзіць вудаль на ляду, падпер кіям бараду, сілявачку сіляе, на вяровачку нізае. Захлыска. На захлыску каня улавіў. Захлыскі разставіў на зайцаў."
АРКТИЧНЫЙ,"паўночны, датычны паўночнае буклі (полюса), або паўклуббя (полушарія) зямлі — сіверны; сіверны круг, сіверны паяс."
АРМИЯ,"ж. франц. дзяржаўнае сухапутнае войска, пяхота і конніца; армія, армейны, армеяц, армейшчына."
АРМЯК,"м. матар., тканіна з воўны і вярблюджага пуху, вырабляная б. ч. татарамі; кучбай. Суконная вопратка зшытая з армячыны, кучбаю і наагул шырокая вопратка халатам, — чугай."
АРОМАТ,"м. грэцк. добрапахнасьць, пахнасьць, прыемны пах; водар. Водар прыемны са сьвежага сена. Вохнасць. Вохнасьць тхне з кветніка. Прыемная вохнасьць ад кадзіва. Вохны гарошык пасеяла."
АРСЕНАЛ,м. франц. будынак дзе перахоўвуецца зброя і вайсковыя прыналежнасьці; збройня.
АРТАЧИТЬСЯ,"дыбіцца, ўздыбіцца, на дыбы стануць, пайсьці. Аськірзацца. Набяры вады ў губу, то і будзеш маўчаць, не станеш аськірзацца з мужам. (Сержпут.)."
АРТЕЛЬ,"ж., слова таго-ж караня, што і рота, але з перастаноўкай першых літар; таварыства, брацтва; сябрына, сябраваць, сяброўшчына. Сябраннае права апісана ў Статуце В. Кн. Літоўскага."
АРТИКУЛ,"м. лац. даўней значыла: аддзел, стацьця; артыкул."
АРТИЛЛЕРИЯ,"ж. франц. цяжкая агнястрэльная зброя, не ручная: гармата, гарматная служба, гарматнік, гарматніцкі."
АРТИСТ,"м. франц. чалавек які займаецца прыгожым мастацтвам; больш ужываецца аб музыкантах, малярах, танцорах; кудзейнік „скоморохове, кудейнице и глумце“ (Архіў Тур.-Пінскай Архіепіскопіі). Мастак, мастацкі, мастачыць."
АРТИШОК,"м. фрукт расьціны Cinara Scolimus, карштук."
АРХИ,"грэцк. пачат. само па сабе ня ўжываецца, а перад другімі словамі, калі трэба падняць іх у найвышэйшую ступеню; архібіскуп, архімандрыт, архіпастыр, архісправядлівец."
АРХАНГЕЛ,"м. грэцк. арханел, арханельскі."
АРХИТЕКТУРА,"ж. грэцк. будаўнічнае мастацтва: архітэктура. У нар. песьнях захавалася слова дойлід у значэньні будаўнічага. А ў Турове, на мураве, тры дойліды цэркаўку стаўлялі."
АССОЦИАЦИЯ,"ж. франц. зграмаджаньне, сабраньне, таварыства, сувязь, змова дзеля якой колечы агульнай мэты."
АСПИД,"м. грэц. ядавітая зьмяя: баечны зьмей, цмок."
АСТМА,"ж. грэцк. мэд. хвароба — разшырэньне лёгкіх, удушша, удушлівы, удушлівец."
АСТРОНОМИЯ,"ж. грэцк. навука аб небе, зорніцтва, астраномія."
АСТРОЛЯБИЯ,"ж. грэцк. землямерны прыбор,"
АТАКОВАНИЕ,"франц. напад, наступленьне."
АТЕИЗМ,"м. грэцк. бязвернасьць, нявера ў Бога, бязбожнік, бамбіза."
АУДИЕНЦИЯ,"лац. паслуханьне, прыймо."
АФИША,"ж. франц. апавестка на паперы аб якім колечы відовішчы, сабраньні, прадажы; публікатка; стар. арх. аклічны ліст."
АФОРИЗМ,м. грэцк. кароткі і ясны высказ; афарызм.
АФРОНТ,"м. франц. асабістая зьнявага, зьняважаньне гонару."
БАБА,"ж. замужная жанка, асабліва перад старасьцю (раней: малодка, маладуха, маладзіца) баба, бабка, бабуля, бабуся, бабця, бабно, бабарыха. Бабнік, бабадур, бабалюб, бабахот, эпітэты-прозьвішчы даваныя мужчынам, якія маюць тыя або іншыя адносіны да баб. Бабінец сені ў церквах і касьцёлах, дзе зазвычай сідзяць жабруючыя бабы. Бабіць — прыймаць новародка, адрэзаць пуп новародку."
БАБОЧКА,"ж. мятлік, мятулёк, зборнае — мятуліца."
БАГЕТА,ж. франц. рамніца.
БАГОР,м. жалезны крук на шасьце; басог.
БАГРОВЫЙ,самай яскравай і густой чырвонай барвы; пурпуровы.
БАГРЕЦ,"пурпура. Даўней ужывалі дзеля абазначэньня пурпуровага колеру такжа слова кармазын; кармазыновая шляхта — багатая, адзетая у кармазыны, чырвоны аксаміт."
БАДЬЯ,"ж. вялікі цэбар з тоўстых клепак; бодня, чоп."
"БАЗА ж., БАЗИС","м. лац. аснова, апора, спод, астоя."
БАЗАР,"м. татар. торг на адкрытым мейсцы, торжышча, самае мейсца, дзе бывае торг — майдан, рынак, дзень тыдня ў які адбываецца торг; кірмаш — зьезд у тарговыя дні, ў азначанае мейсца."
БАЙКА,"ж. англ. мяккая, тоўстая, вельмі варсістая тканіна, кучбай, стар. кодыр."
БАКАЛЕЯ,"тавар. сушаныя фрукты: разынкі, сьлівы, дактылі (фінікі), арэхі, канфітуры, мёд і інш.; сушаніны."
БАКЕНБАРДЫ,м. ням. часьць барады на шчацэ да вушэй; бакі.
БАКЛАГА,"ж. дрэўлянае абручное, або даўблёнае начыньне розн. формы; карчага, карчажка. Прынясі карчагу з дзёгцям. Купіў карчажку да вады."
БАКЛУШИ,"мэталічныя талеркі якімі выбіваюць, такт ў аркестры, або да танцу; бразгачы, ў бразгачы біць."
"БАКЧА, БАХЧА","м. татар. гарод у полі, не пры доме, на надмятым плугам шчырцу (цѣлинѣ) баштан."
БАЛАБОЛКА,"ж. татар. закрыты званочак да конскай упражы; шумёлка, бома. Бомы вясёла шумяць (М. Багдановіч)."
БАЛАГАН,"м. татар. часовая з досак, або іншага матэрьялу будова да таргаваньня, прадстаўленьня, рукомесла; кірмашовая будка, лубмень лубнянка стар. клетка. На кірмашы прадавалі абаранкі з вазоў, сталоў і ў лубмянёх. Лубмянку заарэндаваў на рынку."
БАЛАГУРИТЬ,"татар. ціха і супакойна размаўляць; гукаць, дудукаць. Сыйшліся, падудукалі з кумой, дык і ад душы адляглю. Сойдуцца старыкі пагукаюць (Рам.) Мы пагукалі аб нашым горы. Схадзі, пагукай са старастаю. Дудукаюць сабе маладыя, як галубкі у гнязьдзечку."
БАЛАЛАЙКА,"ж. татар. музычнае снадзіва ладамі і двумя або трымя струнамі; бандурка, бандура, бандурыста, граючый на бандуры; балабайка, балабайшчык, балабаіць іграць на балабайцы, а такжа ў значэньні гультаваць, лындаць без працы."
БАЛАНДА,ж. татар. сьцюдзёная страва з квасу і гардавіны (зелени); халадзец.
БАЛАНС,"м. франц. быцьце ў роўнавазе; роўнавага, віхт, асьвер. Віхт, віхцік стрэлка ў шальках, паказуючая одклон або роўнавагі; віхтацца, адкланяцца ад роўнавагі. Вага віхтаецца сюды і туды. Пад віхт разквітаўся з ім летась, а сёлета ізноў ён у даўгу, ізноў новы віхтунак. Калі гляну, аж дзяцё ужо пераасьверылася праз вакно галоўкай у ніз. ледзь за ножкі"
БАЛАСТ,"м. франц. пясок, каменьня, жвір насыпаныя ў кодаб карабля дзеля астоістасьці яго; цяжво, цяжыва."
БАЛАХОН,"м. татар. верхняя летняя сялянская вопратка, найчасьцей з палатна; насоў."
БАЛБЕС,м. аболтус. Вун які аболтус выйшаў з яго. Лупі яго аболтуса гэтага.
БАЛДА,"ж. дрэўляная даўбешка, рознай формы; даўбешка, якую ужываюць сталяры, бондары. Дравасекі да шчапаньня дроў ўжываюць пабойню, даўбню, цяльпагу. Да разьбіваньня камоў зямлі ўжываецца кука і ад ея паходзяць словачыны — кокаць, кокнуць, ударыць. Целяпей, цяльпух, чалавек няўдалы, нязручны. Пабойня, чалавек тупы: што ўбіў, то ўехаў. Даўбня, гаворыцца аб згрызлівым, надаедлівым чалавеку."
БАЛДАХИН,"м. італьян. запона над ложам, седзішчам, пасадам; пераносны ўжываецца дзеля урочыстых працэсьій; бальдахім; полаг бывае над ложам."
БАЛКА,"ж. ням. бэлька, бярно, маціца."
БАЛКА,"татар. лог, разлог, сухадол, яр."
БАЛКОН,"м. вісячы ганак з балясамі, або выступ на зьне дому; стар.: гаўбец, галубец; балькон, паладок."
БАЛОВАТЬ,"дурэць, кудашыцца; псаваць што дурэючы, цацкацца, зцацкаць. Даваць патачку, патакаць; песьціць, пястун; разбязурываць. Разбязураных рабят у хатыль бярэ (Нікіфоровск). Разбязурыліся, што ратунку няма. Разкудашыліся і супыну німа. Будзеш кудашыцца ты датуль, пакуль пугай ня зрэжу. Мамчын сынок-пястунок. Як разпешчаны, то і разбэшчаны."
БАЛЛ,м. азначаньне поступаў у навуцы ў працы; ведамка.
БАЛЛОТИРОВАТЬ,галасаваць.
БАЛ,"м. франц. вячорнае сабраньне мужчын і жанок на танцы; баль, балёвы, баляваць."
БАЛЬЗАМ,"бальзам, бальзамічны, бальзамаваць."
БАНДА,"ж. франц. аргада, арганак, арганачыць. Разбойніцкая аргада чапала (Дрыс. і Вяліж. п.) Па дарогах ды с пад мастоў нападаў, аргамачыў; банда."
БАНДЕРОЛЬ,"папяровая; тасемка да аклейкі тавараў, пасьля аплаты падатку апаяска."
БАНКА,"ж. шклянае або ганчарнае начыньне з шырокім горлам; слой, слоік; кровапускальныя банькі; калі зроблена з бляхі — бляшанка."
БАНКЕТ,"м. франц. званы стол, стол; бясёда."
БАНК,"м. італьян. урадовая або прыватная пазычковая установа; банк, банкар, банкарыць."
БАНТ,"м. ням. глухі вузял з вушамі; кукарда, кукардка; стужатка, стуга, стужка."
БАНЯ,"ж. будынак дзе мыюцца і паруцца; лазьня, прылазьнік — прыбудоўка да лазьні; лазьнік — чалавек, які мые ў лазьні. У Магілёўшчыне называюць яшчэ мыйня, мыльня і прымыльнік, але зважаючы; што ў іншых аколіцах мыйняй называюць прачкарню, я лічу за лепшае слова „мыйня“ замацаваць у значэньні прачкарні."
БАРАБАН,"м. вайскова-музычная прылада з двумя днамі са скуры; бубен, бубеншчык — музыка на бубні іграючый; бубеніць у значэньні біць па бубне і сварыцца, пукчэць, квактаць."
БАРАК,"м. франц. часовая лёгкая будоўля для войска, работнікаў, хворых; шалаш, летавень. Пры латышскай граніцы называюць ад лат. слова „майка“ — хата: майгач."
БАРАХЛО,ср. хломазд.
БАРАНКИ,"абвараны піражок кружком; абаранак, абаранкі, абараншчык — той, хто прадае іх."
БАРАХТАТЬСЯ,"біцца рукамі і нагамі, зваліўшыся на зямлю, або ў ваду; балохтацца, чабохтацца; ходацца, тузацца з кім небудзь."
БАРДА,"ж. гушча, астаткі ад перагонкі гарэлкі; брага."
БАРЖА,"ж., вялікая веславая лага; барка. На Дзьвіне завуць лайба, на Дняпрэ — струг."
БАРРИКАДА,ж. франц. загарода на скорую руку на вуліцах; завал.
БАРИН,м. пан (гл. господин).
БАРЫНЯ,"паня, панюхна, панячка."
БАРЫШНЯ,"ж. панна, паненка, слова вельмі даўно ўжыванае як у дакумантах, так паўсямесна на Беларусі ў жывой мове і ў народных песьнях."
БАРИЧЬ,паніч.
БАРХАТ,"м. шаўковая тканіна з каротка стрыжанай, густой ворсай; аксаміт, аксамітны, аксамітка аксамітная стужка, аксамісты. падобны да аксаміту (Гл. Плюш)."
БАРЩИНА,"прыгон, паншчына."
БАРЫШ,"м. зыск, заработак, карысць. Выпіўка пры мяне і куплі-прадажы; магарыч."
БАРЬЕР,"франц. застаўня, рагатка."
БАССЕЙН,м. вадасток ва ўсіх значэньнях.
"БАСНЬ, БАСНЯ","ж., выдуманае здарэнье; вымысл, павучаючае апавяданьне; баятка, байка, баіць, байчыць."
БАСНОСЛОВНЫЙ,"баятны, баечны."
БАТРАК,"м. наемны работнік для сельска-гасп. работ; парабак (ад слова „рабіць“); найміт гаворыцца больш аб падзённым работніку; кумець і бабыль — работнік найчасьцей сямейны, які за сваю працу дастае кавалак зямлі і ардынарыю."
БАУЛ,"м. італьян. доўгая, круглая, абітая скурай дарожная скрыня; скрыня з круглаватым векам; куфар."
БАХВАЛ,"хвалько, хвасько, хвасьціцца."
БАХРОМА,"ж., махра, мохры, махрысты, мохрыцца."
БАШКА,ж. татар. галава.
БАШЛЫК,"м. татар. шлык, каптур."
